"SEDE_CODIGO","PERIODO_ID","PERIODO_ANIO","JORNADA_ID","JORNADA_CODIGO","JORNADA_NOMBRE","NIVELENSE_ID","NIVELENSE_CODIGO","NIVELENSE_NOMBRE","JORNCAP_CANTIDAD_HOMBRE","JORNCAP_CANTIDAD_MUJER"
"111001098922",2,2015,1,1,"Completa",1,"01","Preescolar",0,1
"111001098922",2,2015,1,1,"Completa",2,"02","Básica primaria",16,11
"111001098922",2,2015,1,1,"Completa",3,"03","Básica secundaria",3,1
"111001098922",2,2015,1,1,"Completa",4,"04","Media",2,5
"163001002941",2,2015,1,1,"Completa",3,"03","Básica secundaria",5,1
"163001002941",2,2015,1,1,"Completa",4,"04","Media",3,0
"176001001745",2,2015,2,2,"Mañana",3,"03","Básica secundaria",5,9
"176001001745",2,2015,2,2,"Mañana",4,"04","Media",13,23
"315001002784",2,2015,1,1,"Completa",2,"02","Básica primaria",0,1
"281065002051",2,2015,2,2,"Mañana",2,"02","Básica primaria",0,1
"168001001173",2,2015,3,3,"Tarde",2,"02","Básica primaria",0,1
"311001101051",2,2015,1,1,"Completa",1,"01","Preescolar",1,0
"286001003543",2,2015,2,2,"Mañana",3,"03","Básica secundaria",1,0
"219532002020",2,2015,2,2,"Mañana",2,"02","Básica primaria",0,1
"219532002020",2,2015,2,2,"Mañana",3,"03","Básica secundaria",0,1
"219532002020",2,2015,2,2,"Mañana",4,"04","Media",0,1
"325175000719",2,2015,1,1,"Completa",1,"01","Preescolar",1,0
"168132000199",2,2015,2,2,"Mañana",3,"03","Básica secundaria",2,7
"168132000199",2,2015,2,2,"Mañana",4,"04","Media",2,7
"486001000721",2,2015,2,2,"Mañana",2,"02","Básica primaria",1,2
"225594000198",2,2015,2,2,"Mañana",2,"02","Básica primaria",0,1
"305045000635",2,2015,1,1,"Completa",3,"03","Básica secundaria",1,0
"166001007128",2,2015,1,1,"Completa",3,"03","Básica secundaria",1,0
"166001007128",2,2015,1,1,"Completa",4,"04","Media",1,1
"163001002593",2,2015,3,3,"Tarde",3,"03","Básica secundaria",1,0
"311001102783",2,2015,1,1,"Completa",2,"02","Básica primaria",1,0
"225658000146",2,2015,2,2,"Mañana",2,"02","Básica primaria",1,1
"311001109052",2,2015,1,1,"Completa",1,"01","Preescolar",1,0
"117380000134",2,2015,2,2,"Mañana",2,"02","Básica primaria",1,0
"252838000745",2,2015,2,2,"Mañana",2,"02","Básica primaria",0,1
"152001002842",2,2015,2,2,"Mañana",3,"03","Básica secundaria",0,1
